date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:58	81608/81608	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c4-13ec8%22	https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/home-modern-studio.html	(from )
23:07:59	237/237	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jul%202025%2018:05:30%20GMT	https://uithemez.com/robots.txt		(from )
23:07:59	41662/41662	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2265f5b4e4-a2be%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/favicon.ico	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/favicon.ico	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:00	1210/1210	---MCZ	200	added ('OK')	text/css	etag:W/%2265f5b4d0-4ba%22	https://uithemez.com/i/webfolio/webfolio/assets/css/plugins.css	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/css/plugins.css	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:00	151010/151010	---MCZ	200	added ('OK')	text/css	etag:W/%2265f5b4d1-24de2%22	https://uithemez.com/i/webfolio/webfolio/assets/css/style.css	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/css/style.css	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:00	6787/6787	---M--	200	added ('OK')	image/png	etag:%2265f5b4e4-1a83%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/logo-light.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/logo-light.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:01	96087/96087	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c3-17757%22	https://uithemez.com/i/webfolio/webfolio/home-main.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/home-main.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:01	45382/45382	---M--	200	added ('OK')	image/png	etag:%2265f5b553-b146%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/menu/1.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/menu/1.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:02	50137/50137	---M--	200	added ('OK')	image/png	etag:%2265f5b553-c3d9%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/menu/2.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/menu/2.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:02	77069/77069	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c2-12d0d%22	https://uithemez.com/i/webfolio/webfolio/home-creative-agency.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/home-creative-agency.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:03	69104/69104	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c3-10df0%22	https://uithemez.com/i/webfolio/webfolio/home-digital-agency.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/home-digital-agency.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:03	60048/60048	---M--	200	added ('OK')	image/png	etag:%2265f5b554-ea90%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/menu/3.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/menu/3.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:04	51320/51320	---M--	200	added ('OK')	image/png	etag:%2265f5b554-c878%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/menu/4.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/menu/4.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:04	80338/80338	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c4-139d2%22	https://uithemez.com/i/webfolio/webfolio/home-personal.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/home-personal.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:04	48860/48860	---M--	200	added ('OK')	image/png	etag:%2265f5b555-bedc%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/menu/5.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/menu/5.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:04	66237/66237	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c5-102bd%22	https://uithemez.com/i/webfolio/webfolio/page-about.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-about.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:05	54950/54950	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c7-d6a6%22	https://uithemez.com/i/webfolio/webfolio/page-services.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-services.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:05	38651/38651	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c7-96fb%22	https://uithemez.com/i/webfolio/webfolio/page-services-details.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-services-details.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:05	43972/43972	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c8-abc4%22	https://uithemez.com/i/webfolio/webfolio/page-team.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-team.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:05	37622/37622	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c8-92f6%22	https://uithemez.com/i/webfolio/webfolio/page-team-details.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-team-details.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:06	21525/21525	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c6-5415%22	https://uithemez.com/i/webfolio/webfolio/page-contact.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-contact.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:06	50081/50081	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c6-c3a1%22	https://uithemez.com/i/webfolio/webfolio/page-FAQ.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-FAQ.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:06	39418/39418	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c5-99fa%22	https://uithemez.com/i/webfolio/webfolio/page-404.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/page-404.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:07	32342/32342	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4ca-7e56%22	https://uithemez.com/i/webfolio/webfolio/portfolio-gallery.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/portfolio-gallery.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:07	15172/15172	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c9-3b44%22	https://uithemez.com/i/webfolio/webfolio/portfolio-creative.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/portfolio-creative.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:07	22644/22644	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c9-5874%22	https://uithemez.com/i/webfolio/webfolio/portfolio-creative-carousel.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/portfolio-creative-carousel.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:07	37544/37544	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4ca-92a8%22	https://uithemez.com/i/webfolio/webfolio/portfolio-grid.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/portfolio-grid.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:08	35674/35674	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4cb-8b5a%22	https://uithemez.com/i/webfolio/webfolio/portfolio-masonry.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/portfolio-masonry.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:08	26369/26369	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4cb-6701%22	https://uithemez.com/i/webfolio/webfolio/project-details.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/project-details.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:08	29257/29257	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c1-7249%22	https://uithemez.com/i/webfolio/webfolio/blog-classic.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/blog-classic.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:09	36911/36911	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c2-902f%22	https://uithemez.com/i/webfolio/webfolio/blog-grid-sidebar.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/blog-grid-sidebar.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:09	27616/27616	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c2-6be0%22	https://uithemez.com/i/webfolio/webfolio/blog-grid-3column.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/blog-grid-3column.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:09	41143/41143	---MCZ	200	added ('OK')	text/html	etag:W/%2265f5b4c1-a0b7%22	https://uithemez.com/i/webfolio/webfolio/blog-details.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/blog-details.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:10	274/274	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jul%202025%2018:05:41%20GMT	https://uithemez.com/i/webfolio/webfolio/project1.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/project1.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:10	253016/253016	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b544-3dc58%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/header/s1.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/header/s1.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:10	69131/69131	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b544-10e0b%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/header/s2.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/header/s2.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:10	274/274	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jul%202025%2018:05:41%20GMT	https://uithemez.com/i/webfolio/webfolio/project2.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/project2.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:11	214337/214337	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b545-34541%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/header/s3.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/header/s3.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:11	274/274	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2003%20Jul%202025%2018:05:42%20GMT	https://uithemez.com/i/webfolio/webfolio/project3.html	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/project3.html	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:12	69731/69731	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b54f-11063%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/intro/2.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/intro/2.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:12	373981/373981	---M--	200	added ('OK')	image/png	etag:%2265f5b55d-5b4dd%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/patterns/blur1.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/patterns/blur1.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:13	333718/333718	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b5ac-51796%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/2.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/2.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:13	87792/87792	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b5ad-156f0%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/3.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/3.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:14	20957/20957	---M--	200	added ('OK')	image/png	etag:%2265f5b576-51dd%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/3.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/3.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:14	10124/10124	---M--	200	added ('OK')	image/png	etag:%2265f5b576-278c%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/4.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/4.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:14	81147/81147	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b5ae-13cfb%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/4.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/works/1/4.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:15	22432/22432	---M--	200	added ('OK')	image/png	etag:%2265f5b576-57a0%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/5.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/5.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:15	20319/20319	---M--	200	added ('OK')	image/png	etag:%2265f5b576-4f5f%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/6.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/serv-icons/6.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:15	446271/446271	---M--	200	added ('OK')	image/png	etag:%2265f5b583-6cf3f%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/team/t1.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/team/t1.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:16	352852/352852	---M--	200	added ('OK')	image/png	etag:%2265f5b585-56254%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/team/t3.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/team/t3.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:16	184437/184437	---M--	200	added ('OK')	image/png	etag:%2265f5b584-2d075%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/team/t2.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/team/t2.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:16	284924/284924	---M--	200	added ('OK')	image/png	etag:%2265f5b587-458fc%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/team/t4.png	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/team/t4.png	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:16	16235/16235	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b58d-3f6b%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t1.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t1.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:17	16369/16369	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b58e-3ff1%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t2.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t2.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:17	13347/13347	---M--	200	added ('OK')	image/jpeg	etag:%2265f5b58e-3423%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t3.jpg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/testim/t3.jpg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:38	4350/4350	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f5b538-10fe%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c1.svg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c1.svg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:39	2995/2995	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f5b539-bb3%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c2.svg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c2.svg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:40	7734/7734	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f5b539-1e36%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c3.svg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c3.svg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
23:08:40	3812/3812	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2265f5b53a-ee4%22	https://uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c4.svg	C:/Users/MHE/Desktop/My%20Information/uithemez.com/i/webfolio/webfolio/assets/imgs/brands/c4.svg	(from https://uithemez.com/i/webfolio/webfolio/home-modern-studio.html)
